# Pathway	merged_ADK-10008292Week-0_S21_L001__kneaddata_paired_Abundance
UNMAPPED	1187847.2615794057
UNINTEGRATED	4008885.0101612960
UNINTEGRATED|unclassified	1103990.5242516154
UNINTEGRATED|g__Blautia.s__Blautia_obeum	584047.6447532284
UNINTEGRATED|g__Blautia.s__Blautia_wexlerae	283466.7746930929
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_adolescentis	276955.6845591801
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	222616.1818201100
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bromii	166558.0021321257
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	148313.1420046427
UNINTEGRATED|g__Dorea.s__Dorea_formicigenerans	136671.3224628159
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	120613.3075240916
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	94237.5127631284
UNINTEGRATED|g__Bacteroides.s__Bacteroides_stercoris	68189.8772281448
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	63208.1733868953
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ventriosum	57064.9130593296
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ramulus	53358.8549856334
UNINTEGRATED|g__Alistipes.s__Alistipes_putredinis	53023.3158326538
UNINTEGRATED|g__Collinsella.s__Collinsella_aerofaciens	40863.6080397294
UNINTEGRATED|g__Bacteroides.s__Bacteroides_fragilis	35365.2988660151
UNINTEGRATED|g__Roseburia.s__Roseburia_inulinivorans	32886.6580591234
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_sp_AF31_8BH	31548.3213733454
UNINTEGRATED|g__Gemmiger.s__Gemmiger_formicilis	30789.3470418590
UNINTEGRATED|g__Agathobaculum.s__Agathobaculum_butyriciproducens	30621.2988933068
UNINTEGRATED|g__Bacteroides.s__Bacteroides_thetaiotaomicron	26542.7774287250
UNINTEGRATED|g__Flavonifractor.s__Flavonifractor_plautii	25034.1807658553
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	24340.6822439802
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_AM22_11AC	20700.8365885255
UNINTEGRATED|g__Collinsella.s__Collinsella_intestinalis	20354.5065157302
UNINTEGRATED|g__Blautia.s__Blautia_sp_AF19_10LB	18907.5663812300
UNINTEGRATED|g__Bacteroides.s__Bacteroides_dorei	15243.1253175691
UNINTEGRATED|g__Asaccharobacter.s__Asaccharobacter_celatus	13318.3710561377
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	12293.6096609979
UNINTEGRATED|g__Streptococcus.s__Streptococcus_thermophilus	11568.8794636137
UNINTEGRATED|g__Bacteroides.s__Bacteroides_massiliensis	10556.9898329535
UNINTEGRATED|g__Leuconostoc.s__Leuconostoc_gelidum	9878.4136673027
UNINTEGRATED|g__Bacteroides.s__Bacteroides_finegoldii	8486.4455052473
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_johnsonii	5375.5732034590
UNINTEGRATED|g__Bacteroides.s__Bacteroides_cellulosilyticus	3728.2591757530
UNINTEGRATED|g__Alistipes.s__Alistipes_finegoldii	3324.2817781522
UNINTEGRATED|g__Alistipes.s__Alistipes_shahii	3225.0996985499
UNINTEGRATED|g__Lactococcus.s__Lactococcus_lactis	2193.0797625797
UNINTEGRATED|g__Alistipes.s__Alistipes_onderdonkii	2091.2628567508
UNINTEGRATED|g__Eggerthella.s__Eggerthella_lenta	1395.5596984368
PWY-7238: sucrose biosynthesis II	5572.0638397582
PWY-7238: sucrose biosynthesis II|unclassified	1908.7811825169
