# Pathway	merged_VRA-15073629Week-0_S152_L001__kneaddata_paired_Abundance
UNMAPPED	1304843.7197721167
UNINTEGRATED	4553055.6292280825
UNINTEGRATED|unclassified	1205010.8481820337
UNINTEGRATED|g__Blautia.s__Blautia_obeum	455512.5265171721
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	436015.9492419310
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	289180.2119410256
UNINTEGRATED|g__Blautia.s__Blautia_wexlerae	205359.2696784117
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	154225.0956814127
UNINTEGRATED|g__Collinsella.s__Collinsella_aerofaciens	147585.3194736203
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_adolescentis	134356.4884194113
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	117207.4547983978
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	112875.5770297457
UNINTEGRATED|g__Roseburia.s__Roseburia_inulinivorans	109660.7899394991
UNINTEGRATED|g__Roseburia.s__Roseburia_intestinalis	102111.6781353017
UNINTEGRATED|g__Roseburia.s__Roseburia_faecis	98251.4269153558
UNINTEGRATED|g__Dorea.s__Dorea_formicigenerans	73993.8847640044
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	60731.4400315029
UNINTEGRATED|g__Gemmiger.s__Gemmiger_formicilis	60159.1221604914
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bromii	49080.5028870854
UNINTEGRATED|g__Clostridiales_unclassified.s__Clostridiales_bacterium_KLE1615	42043.3564069544
UNINTEGRATED|g__Bacteroides.s__Bacteroides_dorei	34153.0484619257
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ramulus	31720.8645912967
UNINTEGRATED|g__Streptococcus.s__Streptococcus_salivarius	29004.5725717151
UNINTEGRATED|g__Alistipes.s__Alistipes_finegoldii	26813.7645162425
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ventriosum	26299.7367702443
UNINTEGRATED|g__Agathobaculum.s__Agathobaculum_butyriciproducens	25900.0810388394
UNINTEGRATED|g__Streptococcus.s__Streptococcus_pneumoniae	25472.0944150273
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_salivarius	23376.6289422693
UNINTEGRATED|g__Roseburia.s__Roseburia_hominis	22855.2444909492
UNINTEGRATED|g__Bacteroides.s__Bacteroides_caccae	21329.4899834691
UNINTEGRATED|g__Coprococcus.s__Coprococcus_catus	19540.1257361403
UNINTEGRATED|g__Bacteroides.s__Bacteroides_stercoris	16728.9683639864
UNINTEGRATED|g__Bacteroides.s__Bacteroides_xylanisolvens	16460.6369549346
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_merdae	16257.4645508891
UNINTEGRATED|g__Asaccharobacter.s__Asaccharobacter_celatus	14863.9618353132
UNINTEGRATED|g__Lactococcus.s__Lactococcus_piscium	13797.2615126656
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	13283.2840031544
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_rogosae	12476.4006739572
UNINTEGRATED|g__Intestinibacter.s__Intestinibacter_bartlettii	9161.7951365822
UNINTEGRATED|g__Streptococcus.s__Streptococcus_equinus	8804.9320637790
UNINTEGRATED|g__Faecalitalea.s__Faecalitalea_cylindroides	8305.9691107636
UNINTEGRATED|g__Streptococcus.s__Streptococcus_parasanguinis	7962.0508687135
UNINTEGRATED|g__Clostridium.s__Clostridium_perfringens	7240.7107145333
UNINTEGRATED|g__Bacteroides.s__Bacteroides_thetaiotaomicron	6668.7840953336
UNINTEGRATED|g__Clostridium.s__Clostridium_disporicum	6328.3090293462
UNINTEGRATED|g__Eggerthella.s__Eggerthella_lenta	4415.2476172444
UNINTEGRATED|g__Streptococcus.s__Streptococcus_vestibularis	3922.7380258315
UNINTEGRATED|g__Alistipes.s__Alistipes_onderdonkii	3277.4111004084
UNINTEGRATED|g__Faecalicoccus.s__Faecalicoccus_pleomorphus	2308.0808743834
UNINTEGRATED|g__Bacteroides.s__Bacteroides_intestinalis	2234.6438553066
UNINTEGRATED|g__Gordonibacter.s__Gordonibacter_pamelaeae	1461.2899599970
UNINTEGRATED|g__Veillonella.s__Veillonella_atypica	343.6593572291
UNINTEGRATED|g__Streptococcus.s__Streptococcus_sp_A12	315.0993493970
UNINTEGRATED|g__Streptococcus.s__Streptococcus_australis	278.9629941922
PWY-7238: sucrose biosynthesis II	6622.0948025797
PWY-7238: sucrose biosynthesis II|unclassified	2152.0816282717
PWY-7238: sucrose biosynthesis II|g__Blautia.s__Blautia_obeum	826.0714838565
PWY-7238: sucrose biosynthesis II|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	631.1363571092
PWY-7238: sucrose biosynthesis II|g__Bifidobacterium.s__Bifidobacterium_adolescentis	410.8765248772
PWY-7238: sucrose biosynthesis II|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	384.2123638463
